trace,baseline_ipc,morrigan_ipc,tage_ipc,morrigan_speedup,tage_speedup,morrigan_coverage,tage_coverage,morrigan_accuracy,tage_accuracy,tage_preds,tage_correct,tage_share_of_misses
srv_12,0.533665,0.576627,0.576470,8.0504,8.0209,69.74,69.67,12.82,12.77,613,156,0.6381
srv_128,0.551945,0.591057,0.589825,7.0862,6.8630,77.90,75.20,15.10,14.84,397,144,0.5381
srv_194,0.496387,0.523745,0.523593,5.5114,5.4808,68.63,68.92,11.51,11.58,260,46,0.3603
srv_207,0.532758,0.576660,0.576062,8.2405,8.1283,71.69,71.52,12.25,12.09,680,163,0.7438
srv_21,0.533469,0.570637,0.570722,6.9672,6.9832,69.10,69.70,14.05,14.06,354,91,0.4304
srv_222,0.573782,0.620853,0.621309,8.2036,8.2831,76.09,76.74,14.60,14.72,918,395,1.0968
srv_225,0.581827,0.629354,0.629903,8.1686,8.2629,76.78,77.74,14.68,14.91,484,148,0.5871
srv_255,0.583781,0.629765,0.629956,7.8769,7.9096,76.22,77.20,14.61,14.60,507,154,0.6208
srv_259,0.574521,0.621191,0.620824,8.1233,8.0594,75.29,75.69,14.44,14.56,984,532,1.1447
srv_276,0.493800,0.523093,0.522936,5.9322,5.9004,65.52,64.93,12.54,12.37,269,35,0.3512
srv_287,0.509254,0.540338,0.539849,6.1038,6.0078,70.65,69.08,13.72,13.57,405,115,0.5344
srv_32,0.573477,0.622883,0.621969,8.6152,8.4558,76.93,74.63,14.41,14.24,410,108,0.4949
srv_364,0.557939,0.600490,0.600691,7.6265,7.6625,77.11,76.87,14.33,14.24,346,79,0.4377
srv_408,0.522245,0.558160,0.558162,6.8770,6.8774,72.68,71.77,14.76,14.58,650,238,0.8109
srv_41,0.573634,0.621569,0.621592,8.3564,8.3604,76.11,75.69,14.82,14.86,742,240,0.8867
srv_426,0.541951,0.580353,0.580570,7.0859,7.1259,72.32,72.70,13.94,14.02,365,59,0.4742
srv_442,0.573755,0.618665,0.619194,7.8274,7.9196,76.94,78.17,14.27,14.47,1494,837,1.7689
srv_48,0.577465,0.623045,0.622886,7.8931,7.8656,76.31,76.82,14.45,14.51,1206,611,1.4606
srv_495,0.575142,0.622834,0.620561,8.2922,7.8970,78.31,75.32,14.65,14.40,488,161,0.5809
srv_504,0.577448,0.621299,0.621293,7.5939,7.5929,75.90,75.67,14.36,14.24,971,445,1.2023
srv_526,0.568083,0.609646,0.609604,7.3164,7.3090,86.40,85.86,15.70,15.54,870,247,1.2549
srv_537,0.559300,0.603685,0.602322,7.9358,7.6921,74.58,72.48,14.42,13.95,926,385,1.0651
srv_540,0.561012,0.605026,0.604275,7.8455,7.7116,74.11,73.48,14.64,14.63,729,257,0.8189
srv_551,0.550726,0.588578,0.588556,6.8731,6.8691,75.16,74.99,13.45,13.62,436,124,0.5924
srv_575,0.562430,0.591231,0.591284,5.1208,5.1302,71.12,71.55,13.23,13.20,706,298,1.1241
srv_582,0.577994,0.627472,0.627416,8.5603,8.5506,79.06,78.88,14.93,15.02,495,138,0.5947
srv_61,0.578239,0.628273,0.625846,8.6528,8.2331,78.47,74.91,14.93,14.33,436,124,0.5224
srv_617,0.565692,0.606378,0.605534,7.1923,7.0431,74.86,73.63,12.96,12.60,891,374,1.1287
srv_641,0.573298,0.620038,0.617245,8.1528,7.6656,78.21,73.19,14.31,13.61,427,138,0.5198
srv_669,0.528535,0.565139,0.566104,6.9256,7.1081,71.42,73.10,14.41,14.74,638,218,0.7781
srv_702,0.563271,0.608472,0.606704,8.0247,7.7109,76.03,73.56,14.39,14.16,930,369,1.1080
srv_706,0.546435,0.582973,0.584271,6.6866,6.9242,74.34,77.20,13.71,14.04,380,103,0.4984
srv_715,0.527266,0.563454,0.563057,6.8633,6.7880,72.26,71.12,13.85,13.77,572,93,0.6935
srv_727,0.572964,0.620105,0.622005,8.2276,8.5592,76.51,78.43,14.53,14.88,463,134,0.5478
srv_73,0.523545,0.551656,0.551913,5.3694,5.4184,65.84,66.70,12.01,12.04,310,48,0.4423
srv_743,0.570014,0.606274,0.606195,6.3612,6.3474,86.77,85.87,15.21,15.11,816,206,1.1970
srv_764,0.545423,0.584197,0.584020,7.1090,7.0765,77.26,76.76,14.86,14.93,358,131,0.4845
srv_771,0.577791,0.621622,0.622012,7.5860,7.6535,75.10,76.07,14.36,14.45,909,392,1.0977
srv_85,0.555375,0.598597,0.599517,7.7825,7.9481,72.13,73.05,13.89,13.85,842,285,0.9329
srv_s0,0.572686,0.620707,0.619582,8.3852,8.1888,76.22,74.92,14.89,14.49,760,309,0.9069
srv_s10,0.586594,0.638256,0.638763,8.8071,8.8935,81.08,82.01,15.56,15.51,556,175,0.6802
srv_s60,0.552516,0.595788,0.596207,7.8318,7.9076,74.80,74.91,14.18,14.19,907,357,0.9959
srv_s61,0.574032,0.620558,0.620773,8.1051,8.1426,75.98,76.59,14.56,14.52,1007,425,1.1995
srv_s69,0.570968,0.612640,0.613335,7.2985,7.4202,74.33,75.45,13.81,13.90,456,172,0.5671
srv_s7,0.596641,0.643694,0.643512,7.8863,7.8558,87.86,87.65,16.39,16.19,860,225,1.1254
