trace,baseline_ipc,morrigan_ipc,tage_ipc,morrigan_speedup,tage_speedup
srv_12,0.533665,0.57626,0.576775,7.9816,8.0781
srv_128,0.551945,0.590502,0.589977,6.9857,6.8905
srv_194,0.496387,0.523414,0.52295,5.4447,5.3513
srv_207,0.532758,0.575665,0.575609,8.0538,8.0432
srv_21,0.533469,0.57075,0.572148,6.9884,7.2505
srv_222,0.573782,0.621331,0.621356,8.2869,8.2913
srv_225,0.581827,0.630242,0.629604,8.3212,8.2115
srv_255,0.583781,0.631075,0.630202,8.1013,7.9518
srv_259,0.574521,0.620695,0.620972,8.0370,8.0852
srv_276,0.4938,0.522377,0.522506,5.7872,5.8133
srv_287,0.509254,0.540516,0.539952,6.1388,6.0280
srv_32,0.573477,0.62254,0.623458,8.5554,8.7154
srv_364,0.557939,0.599836,0.60086,7.5092,7.6928
srv_408,0.522245,0.559023,0.558766,7.0423,6.9931
srv_41,0.573634,0.621913,0.621501,8.4163,8.3445
srv_426,0.541951,0.580834,0.57962,7.1746,6.9506
srv_442,0.573755,0.618254,0.61843,7.7557,7.7864
srv_48,0.577465,0.623134,0.62332,7.9085,7.9407
srv_495,0.575142,0.622269,0.620459,8.1940,7.8793
srv_504,0.577448,0.621473,0.622648,7.6241,7.8275
srv_526,0.568083,0.609836,0.609775,7.3498,7.3391
srv_537,0.5593,0.603603,0.603721,7.9212,7.9422
srv_540,0.561012,0.604131,0.606046,7.6859,8.0273
srv_551,0.550726,0.590225,0.589314,7.1722,7.0068
srv_575,0.56243,0.59002,0.591199,4.9055,5.1151
srv_582,0.577994,0.627938,0.627129,8.6409,8.5010
srv_61,0.578239,0.625321,0.625963,8.1423,8.2533
srv_617,0.565692,0.606087,0.606003,7.1408,7.1260
srv_641,0.573298,0.617484,0.618872,7.7073,7.9494
srv_669,0.528535,0.566271,0.565779,7.1397,7.0466
srv_702,0.563271,0.607615,0.607432,7.8726,7.8401
srv_706,0.546435,0.584168,0.58369,6.9053,6.8178
srv_715,0.527266,0.563545,0.562261,6.8806,6.6371
srv_727,0.572964,0.620563,0.619827,8.3075,8.1790
srv_73,0.523545,0.551712,0.552442,5.3801,5.5195
srv_743,0.570014,0.605315,0.606327,6.1930,6.3705
srv_764,0.545423,0.583712,0.584414,7.0201,7.1488
srv_771,0.577791,0.621456,0.621683,7.5572,7.5965
srv_85,0.555375,0.599512,0.598913,7.9472,7.8394
srv_s0,0.572686,0.619114,0.621204,8.1071,8.4720
srv_s10,0.586594,0.639728,0.639167,9.0581,8.9624
srv_s60,0.552516,0.59651,0.596096,7.9625,7.8876
srv_s61,0.574032,0.620637,0.620363,8.1189,8.0712
srv_s69,0.570968,0.613484,0.614211,7.4463,7.5736
srv_s7,0.596641,0.643001,0.643581,7.7702,7.8674
